complaint,category,priority
my room has an issue wifi is unavailable in block c i need help with this,Internet,Medium
the problem is that dryer keeps shutting down in room please get this fixed soon,Laundry,Medium
please check this internet connection is unstable please get this fixed soon,Internet,Medium
kindly fix this dryer is not working on the third floor can someone look into this,Laundry,Medium
i noticed that bed frame is damaged near my room kindly resolve this,Furniture,Medium
table leg is broken in room can someone look into this,Furniture,Low
kindly fix this cockroaches are coming from the bathroom in the hostel room,Pest Control,Medium
i want to report that mess plates are dirty kindly resolve this,Mess/Food,Medium
food portion is too small in block c please fix it,Mess/Food,Medium
i want to report that network signal is poor on the third floor please send someone to check,Internet,Medium
my room has an issue internet speed is very low on the second floor please fix it,Internet,Medium
please check this toilet is overflowing in room,Plumbing,High
there is a problem because room key is not working in my room,Security,Medium
my room has an issue clothes are getting damaged in the machine in the hostel room kindly resolve this,Laundry,Medium
please check this study table is damaged in block a kindly resolve this,Furniture,Medium
kindly fix this washing machine is broken in my room please fix it,Laundry,Medium
i want to report that room cupboard is damaged in my room please fix it,Furniture,Medium
there is a problem because water in the mess is not clean in the hostel room this needs to be repaired,Mess/Food,Medium
there is a problem because dryer keeps shutting down on the second floor please send someone to check,Laundry,Medium
please check this toilet is overflowing near my room,Plumbing,High
i am facing an issue where hostel security is inadequate in room please get this fixed soon,Security,High
in my room common area is not clean in the hostel room kindly resolve this,Cleaning,Medium
please check this power socket is damaged in my room kindly resolve this,Electrical,Medium
i am facing an issue where there is a termite problem in room i need help with this,Pest Control,Medium
i am facing an issue where flies are everywhere in the hostel room can someone look into this,Pest Control,Medium
in my room door cannot be locked in block b this needs to be repaired,Security,Medium
i noticed that plug point is loose in my room please fix it,Electrical,Medium
i noticed that wifi works only sometimes in room please send someone to check,Internet,Medium
my room has an issue power is not available in my room on the second floor this needs to be repaired,Electrical,High
kindly fix this washing machine is not working on the second floor please fix it,Laundry,Medium
i noticed that corridor security camera is not working can someone look into this,Security,High
please check this bed frame is damaged near my room please get this fixed soon,Furniture,Medium
i want to report that mattress is uncomfortable and damaged in the hostel room i need help with this,Furniture,Medium
dirty water is on the floor in block a can someone look into this,Cleaning,Medium
ceiling fan stopped working in block a can someone look into this,Electrical,Medium
please check this bathroom floor is dirty near my room kindly resolve this,Cleaning,Medium
my room has an issue mess food is often late,Mess/Food,Medium
i noticed that door latch is broken in block a please send someone to check,Security,Medium
kindly fix this dust is everywhere in the room can someone look into this,Cleaning,Medium
in my room dryer is not heating in block b please fix it,Laundry,Medium
in my room wifi signal is weak in room this needs to be repaired,Internet,Low
kindly fix this plug point is loose in my room please send someone to check,Electrical,Medium
the problem is that dustbin is overflowing in my room please fix it,Cleaning,Medium
ceiling plaster is falling in room please get this fixed soon,Maintenance,High
my room has an issue common area is not clean in my room can someone look into this,Cleaning,Medium
i noticed that hostel network is down near my room this needs to be repaired,Internet,High
my room has an issue bathroom drain is clogged in block c,Plumbing,Medium
i want to report that food is overcooked on the third floor i need help with this,Mess/Food,Medium
i want to report that cockroaches are coming from the bathroom on the third floor kindly resolve this,Pest Control,Medium
i am facing an issue where door is getting stuck in my room kindly resolve this,Maintenance,Medium
i noticed that food is undercooked in my room can someone look into this,Mess/Food,Medium
please check this drawer is broken in room can someone look into this,Furniture,Medium
i want to report that room needs pest control near my room can someone look into this,Pest Control,Medium
kindly fix this visitor entered without permission in block a please send someone to check,Security,Medium
i want to report that food quality is poor in my room this needs to be repaired,Mess/Food,Medium
in my room wifi is unavailable on the second floor kindly resolve this,Internet,Medium
my room has an issue room key is not working near my room please get this fixed soon,Security,Medium
i want to report that mess area is dirty on the third floor please send someone to check,Mess/Food,Medium
kindly fix this room door does not lock properly on the third floor kindly resolve this,Security,Medium
i want to report that ceiling plaster is falling this needs to be repaired,Maintenance,High
kindly fix this pipe is leaking in block c i need help with this,Plumbing,Medium
please check this washing machine is overloaded in my room please fix it,Laundry,Medium
i am facing an issue where window is broken in my room please get this fixed soon,Maintenance,Medium
kindly fix this bed is broken on the third floor can someone look into this,Furniture,Medium
there is a problem because window is broken in block c this needs to be repaired,Maintenance,Medium
there is a problem because back gate is open in my room,Security,Medium
my room has an issue electrical switch is sparking on the second floor,Electrical,Medium
i want to report that study table is damaged on the third floor please send someone to check,Furniture,Medium
in my room door latch is broken in block a i need help with this,Security,Medium
i noticed that food is too spicy on the second floor please get this fixed soon,Mess/Food,Low
please check this dryer is not working in room please send someone to check,Laundry,Medium
in my room wifi does not reach my room properly on the second floor please get this fixed soon,Internet,Medium
power is not available in my room please send someone to check,Electrical,High
please check this washroom needs cleaning can someone look into this,Cleaning,Medium
my room has an issue chair is unstable near my room please send someone to check,Furniture,Low
my room has an issue pipe has burst,Plumbing,High
i am facing an issue where wifi is unavailable in room can someone look into this,Internet,Medium
i want to report that mosquito problem is severe in room i need help with this,Pest Control,Medium
kindly fix this toilet flush is not working in room please fix it,Plumbing,Medium
please check this cleaning staff has not visited in room can someone look into this,Cleaning,Medium
the problem is that mess menu is not being followed in block a this needs to be repaired,Mess/Food,Medium
in my room bed frame is damaged in room can someone look into this,Furniture,Medium
there is a problem because bed frame is loose in room please send someone to check,Furniture,Medium
i noticed that room smells unpleasant in room,Cleaning,Medium
my room has an issue laundry area is dirty in block c can someone look into this,Laundry,Medium
i want to report that bathroom has a bad smell in my room please send someone to check,Cleaning,Medium
i noticed that window does not close in room please send someone to check,Maintenance,Medium
i noticed that geyser water is not coming on the second floor please send someone to check,Plumbing,Medium
my room has an issue window is broken can someone look into this,Maintenance,Medium
there is a problem because food tastes bad in block b,Mess/Food,Medium
i noticed that ac is leaking water in block b kindly resolve this,Electrical,Medium
please check this bathroom floor is dirty in the hostel room can someone look into this,Cleaning,Medium
there is a problem because tube light is flickering in room this needs to be repaired,Electrical,Low
i noticed that chair is unstable i need help with this,Furniture,Low
i am facing an issue where room cleaning has not been done near my room can someone look into this,Cleaning,Medium
there is a problem because wifi is unavailable on the second floor please send someone to check,Internet,Medium
in my room study table is broken in room please get this fixed soon,Furniture,Medium
there is a problem because sewage smell is coming from the drain in room please get this fixed soon,Plumbing,Medium
the problem is that window does not close in block b i need help with this,Maintenance,Medium
there is a problem because ac is not turning on near my room please send someone to check,Electrical,Medium
i noticed that washing machine is overloaded in room i need help with this,Laundry,Medium
ceiling fan stopped working in room i need help with this,Electrical,Medium
i am facing an issue where toilet flush is not working in block c can someone look into this,Plumbing,Medium
in my room network is extremely slow near my room this needs to be repaired,Internet,Medium
food is too oily near my room please send someone to check,Mess/Food,Low
chair leg is loose in the hostel room please get this fixed soon,Furniture,Medium
there is a problem because toilet is overflowing in my room kindly resolve this,Plumbing,High
